,pole_id,vgp_id,Name,slat,slon,n,dec,inc,k,α95,VGP_lat,VGP_lon,K,dp,dm,A95,age,2_sigma,min_age,max_age,error_dist,lithology,Q,kept_by_auth,ref,age ref,comments (Q breakdown),paleolatitude,vgp_lat,vgp_lon,vgp_lat_rev,vgp_lon_rev,vgp_lat_SH,vgp_lon_SH,comments on age,dip_dir,dip,comments (x = excluded)
38,VGPs_NAM\1,39,2C804,39.01,237.2,5.0,0.0,56.2,118.0,7.1,87.6,39.0,,,,,0.35,0.06,,,normal,volcanic,,y,Mankinen et al. 2008,Mankinen et al. 2009,,36.75572560730138,87.74572560730128,57.19999999999999,-87.74572560730128,237.2,-87.74572560730128,237.2,,,,
39,VGPs_NAM\1,40,3V021,36.36,241.72,6.0,4.2,57.6,817.0,2.4,86.2,301.0,,,,,0.176,0.021,,,normal,volcanic,,y,Mankinen et al. 2008,Mankinen et al. 2009,,38.233653443993425,86.16996585442082,301.1759930120664,-86.16996585442082,121.17599301206639,-86.16996585442082,121.17599301206639,,,,
40,VGPs_NAM\1,41,3V028,36.37,241.72,9.0,8.8,55.4,120.0,4.7,82.9,333.0,,,,,,,,,,volcanic,,y,Mankinen et al. 2008,Mankinen et al. 2009,,35.93427178879969,82.88353665305695,332.62315207558254,-82.88353665305695,152.62315207558254,-82.88353665305695,152.62315207558254,,,,
41,VGPs_NAM\1,42,3V038,36.36,241.7,10.0,5.6,56.4,304.0,2.8,85.5,322.4,,,,,,,,,,volcanic,,y,Mankinen et al. 2008,Mankinen et al. 2009,,36.96367400460289,85.46813479468317,322.37956458582147,-85.46813479468317,142.37956458582147,-85.46813479468317,142.37956458582147,,,,
42,VGPs_NAM\1,43,3V048,36.36,241.68,11.0,359.6,53.4,85.0,5.0,87.6,70.0,,,,,,,,,,volcanic,,y,Mankinen et al. 2008,Mankinen et al. 2009,,33.95043373534103,87.56834950647414,69.52501091083553,-87.56834950647414,249.52501091083553,-87.56834950647414,249.52501091083553,,,,
43,VGPs_NAM\1,44,3V061,36.36,241.63,8.0,359.1,59.3,522.0,2.4,86.2,230.9,,,,,,,,,,volcanic,,y,Mankinen et al. 2008,Mankinen et al. 2009,,40.10059614771401,86.19324762929104,231.20383222650665,-86.19324762929104,51.20383222650665,-86.19324762929104,51.20383222650665,,,,
44,VGPs_NAM\1,45,3V077,36.35,241.6,7.0,359.7,55.3,285.0,3.6,89.4,82.3,,,,,,,,,,volcanic,,y,Mankinen et al. 2008,Mankinen et al. 2009,,35.8327379675501,89.4287486325935,86.79941813883806,-89.4287486325935,266.79941813883806,-89.4287486325935,266.79941813883806,,,,
45,VGPs_NAM\10,1,VE18,20.595,-97.475,8.0,174.8,-29.8,287.0,3.1,-83.3,210.5,,,,,1.5,,1.5,1.56,normal,volcanic,,,Goguitchaichvili et al. (2007),"Ferrari et al., (2005)",,-15.979208000324668,-83.24247854959656,310.29736681322004,83.24247854959656,130.29736681322004,-83.24247854959656,310.29736681322004,,,,
46,VGPs_NAM\10,2,VE19,20.508,-97.556,7.0,179.1,-17.6,87.0,11.3,-78.5,281.5,,,,,1.62,,1.57,1.6700000000000002,normal,volcanic,,,Goguitchaichvili et al. (2007),"Ferrari et al., (2005)",,-9.012570183305684,-78.47180609419749,266.89607227827423,78.47180609419749,86.89607227827423,-78.47180609419749,266.89607227827423,,,,
47,VGPs_NAM\10,3,VE10,19.66,-96.739,8.0,349.2,24.3,621.0,2.5,77.5,141.1,,,,,1.97,,1.93,2.01,normal,volcanic,,,Goguitchaichvili et al. (2007),"Ferrari et al., (2005)",,12.721750058683018,77.52920499455381,141.08724786370843,-77.52920499455381,321.0872478637084,-77.52920499455381,321.0872478637084,,,,
48,VGPs_NAM\10,4,VE13,19.62,-96.758,7.0,357.7,22.2,86.0,6.4,81.6,98.9,,,,,2.04,,2.0,2.08,normal,volcanic,,,Goguitchaichvili et al. (2007),"Ferrari et al., (2005)",,11.532672793896314,81.61529203927844,98.88604286799493,-81.61529203927844,278.88604286799495,-81.61529203927844,278.88604286799495,,,,
49,VGPs_NAM\10,5,VE12,19.667,-96.772,8.0,183.6,-21.4,295.0,3.6,-80.7,240.7,,,,,3.18,,3.12,3.24,normal,volcanic,,,Goguitchaichvili et al. (2007),"Ferrari et al., (2005)",,-11.086518476312222,-80.74551533281512,240.6988287100591,80.74551533281512,60.698828710059104,-80.74551533281512,240.6988287100591,,,,
50,VGPs_NAM\10,6,VE11,19.668,-96.775,8.0,338.1,35.4,159.0,4.3,64.4,176.5,,,,,3.25,,3.19,3.31,normal,volcanic,,,Goguitchaichvili et al. (2007),"Ferrari et al., (2005)",,19.561728590004822,69.38491290698298,176.64951431724438,-69.38491290698298,356.6495143172444,-69.38491290698298,356.6495143172444,,,,
51,VGPs_NAM\10,7,VE16,19.766,-96.559,7.0,203.7,-36.1,392.0,3.1,-67.7,168.7,,,,,3.5,,3.43,3.57,normal,volcanic,,,Goguitchaichvili et al. (2007),"Ferrari et al., (2005)",,-20.03217271683885,-67.73216296090577,168.6815678216472,67.73216296090577,348.6815678216472,-67.73216296090577,168.6815678216472,,,,
52,VGPs_NAM\10,8,VE17,19.934,-96.664,7.0,175.8,-14.6,893.0,2.2,-86.1,359.9,,,,,4.03,,3.96,4.1,normal,volcanic,,,Goguitchaichvili et al. (2007),"Ferrari et al., (2005)",,-7.420447954988597,-76.84081095214823,281.93902914935296,76.84081095214823,101.93902914935296,-76.84081095214823,281.93902914935296,,,,
53,VGPs_NAM\10,9,VE05,21.075,-98.538,9.0,184.6,-45.3,65.0,9.7,-82.9,116.9,,,,,5.72,,5.59,5.85,normal,volcanic,,,Goguitchaichvili et al. (2007),"Ferrari et al., (2005)",,-26.805808325586398,-82.89416583292703,116.81781305308903,82.89416583292703,296.817813053089,-82.89416583292703,116.81781305308903,,,,
54,VGPs_NAM\10,10,VE03,21.324,-97.833,4.0,181.4,-43.5,288.0,4.1,-85.7,99.4,,,,,6.57,,6.45,6.69,normal,volcanic,,,Goguitchaichvili et al. (2007),"Ferrari et al., (2005)",,-25.383510925057113,-85.74200203506074,99.46220268953576,85.74200203506074,279.46220268953573,-85.74200203506074,99.46220268953576,,,,
55,VGPs_NAM\10,11,VE02,21.154,-97.92,7.0,9.6,49.3,12.0,19.6,77.5,304.3,,,,,6.74,,6.6,6.88,normal,volcanic,,,Goguitchaichvili et al. (2007),"Ferrari et al., (2005)",,30.169592276763098,77.5155117705367,303.9122461135501,-77.5155117705367,123.91224611355011,-77.5155117705367,123.91224611355011,,,,
56,VGPs_NAM\10,12,VE04,21.324,-97.833,8.0,189.2,-55.2,28.0,14.4,-73.5,109.4,,,,,6.75,,6.66,6.84,normal,volcanic,,,Goguitchaichvili et al. (2007),"Ferrari et al., (2005)",,-35.73145615402066,-73.50073457330137,109.35983963600444,73.50073457330137,289.35983963600444,-73.50073457330137,109.35983963600444,,,,
57,VGPs_NAM\10,13,VE07,19.777,-96.658,7.0,358.9,22.7,141.0,5.9,81.9,91.0,,,,,6.93,,6.77,7.09,normal,volcanic,,,Goguitchaichvili et al. (2007),"Ferrari et al., (2005)",,11.813375471542587,81.96648126892865,91.06928217909966,-81.96648126892865,271.0692821790997,-81.96648126892865,271.0692821790997,,,,
58,VGPs_NAM\10,14,VE01,21.04,-97.971,4.0,174.3,-16.3,26.0,15.6,-76.2,286.3,,,,,7.11,,6.95,7.27,normal,volcanic,,,Goguitchaichvili et al. (2007),"Ferrari et al., (2005)",,-8.318288838058468,-76.14023335981241,286.2497988512245,76.14023335981241,106.24979885122451,-76.14023335981241,286.2497988512245,,,,
59,VGPs_NAM\10,15,VE06,21.023,-98.61,7.0,171.8,-38.1,78.0,7.7,-82.3,355.9,,,,,7.33,,7.2,7.46,normal,volcanic,,,Goguitchaichvili et al. (2007),"Ferrari et al., (2005)",,-21.40766652308101,-82.34694196359571,355.75172898305505,82.34694196359571,175.75172898305505,-82.34694196359571,355.75172898305505,,,,
60,VGPs_NAM\10,16,VE15,19.67,-96.415,6.0,191.3,-42.6,48.0,11.4,-78.4,146.0,,,,,7.48,,7.35,7.61,normal,volcanic,,,Goguitchaichvili et al. (2007),"Ferrari et al., (2005)",,-24.691721529717043,-78.4003394557725,145.8865520765285,78.4003394557725,325.88655207652846,-78.4003394557725,145.8865520765285,,,,
61,VGPs_NAM\10,17,VE08,19.735,-96.667,7.0,358.8,38.6,481.0,3.6,87.7,234.9,,,,,14.65,,14.33,14.97,normal,volcanic,,,Goguitchaichvili et al. (2007),"Ferrari et al., (2005)",,21.759154044769286,87.68563113448731,234.53960110670772,-87.68563113448731,54.53960110670772,-87.68563113448731,54.53960110670772,,,,
62,VGPs_NAM\11,1,sr01,42.60264,245.60245,8.0,330.1,64.9,581.5,2.3,68.6,47.2,,,,,3.4,0.06,,,normal,volcanic,,,Tauxe et al. (2004),,plateau age,46.86687467742401,68.47353407589513,177.35034737267245,-68.47353407589513,357.35034737267245,-68.47353407589513,357.35034737267245,,,,
63,VGPs_NAM\11,2,sr03,42.60352,245.5993,7.0,151.8,-57.5,405.3,3.0,-68.2,202.1,,,,,2.0,0.1,,,normal,volcanic,,,Tauxe et al. (2004),,plateau age,-38.126340045758226,-68.15916994683707,333.3107358390561,68.15916994683707,153.31073583905612,-68.15916994683707,333.3107358390561,,,,
